GPA_S1,Age_group,LAB_AVG,CLIN_AVG,Study_hrs_day,Sleep_hrs,Adequate supervision,Self-motivates,Programme prepares for career,Financial_diff,CA_AVG,Takes rest breaks,Concentration in self-study,Manages time effectively,Persists when difficult,Physical health affected,Lecturers approachable,Self_risk_percep,ATT_RATE,Sleep affects concentration,Peer study groups effective,Seeks help when stuck,EXAM_AVG,Hopeless/unmotivated,Sense of belonging,Gender,Completes readings,Burnt out,Clinical takes study time,Can improve performance,Health interferes studies,Employment_hrs,Takes organised notes,Early intervention provided,Participates in clubs,Confident in clinical skills,Anxious about assessments,Regular exercise,Confident to complete prog,Understands content pre-exam,Uses library regularly,Prepared for clinical assess,Considered break,Sleep difficulty,Reviews notes within 24h,Rotations affect performance,ASSIGN_LATE
0.12516801,0.5285691,0.019780442,0.49050087,-0.27623308,-0.25559378,-0.4157456,0.08879122,0.2583831,0.24942803,0.1340796,0.3209974,0.007507952,0.22586748,-0.058930703,0.30316126,-0.40322673,-0.22806184,-0.55540067,-0.0048798975,0.0662883,-0.21213941,0.09634856,0.21037422,0.20783888,-0.45256883,0.091776654,0.020889688,0.16398677,-0.12210216,-0.43778294,0.109397344,-0.06846918,-0.0058338037,-0.08341774,0.20247708,0.043787908,0.032918498,0.0507569,0.14361572,-0.051744863,0.11297886,0.06126019,0.14596847,-0.07348644,0.1642678,-0.07931168
1.2194182,-0.23189335,0.5942706,0.46828008,-0.32457188,0.30058417,0.64205426,-0.06786993,0.13382617,0.17690343,0.07628747,0.3897892,-0.11106249,-0.2805621,0.016633093,-0.06066576,0.16648942,-0.20178579,-0.49606806,-0.16038965,-0.19437468,-0.19032745,0.11374492,0.105466664,-0.09282528,-0.50217247,0.062471148,0.05551499,0.094957806,-0.18453561,0.10901755,0.14750649,-0.105167665,-0.059142653,-0.09292138,-0.14765118,0.031370457,-0.033714898,-0.020158743,0.07692627,-0.057166446,0.049114194,0.036796257,-0.08924167,0.032580525,0.16146612,-0.07055009
0.34218684,0.6372669,-0.78537,0.4276515,-0.3091827,-0.2981374,0.04157735,0.106729954,0.03231706,0.2698931,0.10301285,-0.21681613,-0.16166636,0.23846069,-0.121686764,0.23895077,0.1826488,0.46722797,-0.49683994,0.08959881,-0.14887269,-0.09323582,0.16817647,-0.23311695,-0.17838413,-0.4742137,-0.19917244,0.03462259,-0.17102474,-0.22453134,0.1533043,0.14310537,-0.041685954,-0.07980496,0.06528267,-0.108456776,-0.0038657757,-0.01901793,-0.007000041,0.06657727,0.034700014,0.08257165,-0.13114125,-0.12313652,0.05075068,-0.07297095,-0.119553104
-1.8539407,0.4833211,0.24636684,0.5921876,-0.28978315,0.29621434,-0.44302806,0.06696395,0.36623108,0.2659481,0.0946107,-0.14769372,-0.0023118798,0.1432415,0.019477496,-0.34077132,-0.3551141,-0.2064593,-0.4649031,-0.05282507,0.025707614,-0.18976353,0.20498231,-0.20272611,-0.04688609,-0.41934416,-0.14149351,0.053608425,0.14127521,-0.12664063,-0.1918181,0.13525832,-0.07767599,0.016858848,-0.092899695,-0.15398836,-0.27618006,0.048426557,-0.06437411,-0.04061254,0.06587209,0.07384352,-0.15273115,0.1648855,-0.09184575,0.16266653,-0.05034666
-1.2839357,0.6371871,-0.74606204,0.49227738,-0.33990878,0.32737416,-0.073029324,0.064118296,0.2601183,0.26817524,0.009450132,0.3473531,-0.15305382,-0.15900289,-0.14699344,-0.14217804,0.061351508,0.5030948,-0.4011899,0.13097847,-0.017687269,-0.11028615,0.16257358,-0.3214877,-0.16700464,-0.42221114,-0.044378076,0.009748019,0.095232375,-0.23133588,0.16244939,0.14745979,-0.0668636,0.04150939,-0.09181112,-0.0988148,0.11360304,0.08051244,-0.07074437,-0.016002217,-0.07015583,0.07024578,0.07868952,0.17575014,-0.0826364,-0.043906685,-0.12412412
0.18549094,-0.363571,-0.20786554,0.53616935,-0.39407763,-0.24424864,-0.10394332,0.2632023,0.2712649,0.23749164,0.029858086,-0.23596683,-0.0059217755,-0.35315135,-0.19558059,-0.14178248,-0.3278903,-0.2181443,-0.55607176,-0.06368217,0.07568314,-0.19312398,0.12746961,-0.40501267,-0.0438539,-0.38995486,-0.1529338,0.07189207,0.10302662,-0.16847433,0.10184796,0.09994927,-0.039848063,0.016260108,-0.06528136,0.11821249,0.012528458,-0.0071201664,0.012623407,-0.026728466,0.020484159,-0.14310084,0.046611253,0.060329106,0.07360225,-0.07586651,-0.07639809
0.93337125,-0.49612638,0.22172414,0.49223483,-0.31496722,-0.36944377,-0.0067217494,-0.35091972,0.29107052,0.2680266,0.061194718,-0.1706577,0.00031733653,-0.33456743,0.08883466,-0.22639282,0.15178518,-0.22081049,-0.4955207,-0.29082888,0.116048254,-0.2901451,0.09820269,0.11851239,0.19153894,-0.505988,-0.15160325,0.077833615,0.12794189,-0.122463085,0.12532648,0.09700086,-0.090941094,0.025209384,0.07138847,0.12517132,0.0071489587,-0.019201614,-0.16530992,-0.19576696,0.07158688,0.022055745,0.08146971,-0.116204664,0.07952356,-0.09753838,-0.08224482
0.58577913,-0.51706046,-0.5745817,0.45999247,-0.47257295,-0.30980322,-0.10762388,-0.46750727,0.24431881,0.26099005,0.037554126,0.29536995,0.38117975,0.18291828,-0.16850238,0.23205057,0.08676715,0.0017658402,-0.5314092,-0.044418357,0.09428797,-0.21497928,0.10800348,0.06068178,-0.107158765,-0.40051264,-0.03705045,-0.15700229,0.13751818,-0.08099389,-0.3784175,0.049609322,-0.08796687,-0.005797842,-0.056122594,0.17102255,0.094073474,-0.010582165,0.107436545,0.1433639,0.028890938,0.03494508,-0.10311242,0.14142935,0.027862294,-0.07762211,-0.10544464
-0.44778043,-0.23986116,0.22925654,0.5448878,-0.33549434,0.31099036,-0.39534828,-0.15315515,0.24351195,0.17159352,0.033739723,0.47007897,-0.09701425,0.13958965,-0.12559485,-0.25926986,0.143741,-0.17003728,-0.4195971,-0.021513581,-0.16144922,-0.10766048,0.11265313,-0.23549804,-0.06012285,-0.4979748,0.0008947444,-0.14234838,0.14993075,-0.17776002,0.16457938,0.14392693,-0.06829782,0.0012509408,-0.08536029,0.16753204,0.10605363,-0.06745874,0.052351885,-0.0130938515,-0.021209937,-0.13427342,0.048358083,0.16264187,-0.103514366,0.14587748,-0.095926836
1.1294602,0.49295413,-0.50759846,0.45627248,-0.33241633,0.33906037,-0.06168005,-0.40103108,0.19984388,0.22129004,-0.028685868,-0.1780676,0.10060825,0.2242246,0.016791763,0.16498801,0.18747364,-0.14928272,-0.61225563,-0.016855113,0.093404,-0.27528626,0.2084673,-0.20907633,-0.182466,-0.47500592,0.114594385,0.020325579,-0.22200365,-0.11328423,-0.12587297,0.1322006,-0.091702834,-0.050121263,-0.10589953,-0.17171066,-0.0039691217,0.037791956,0.077888675,0.13637717,-0.13154136,0.09967916,-0.10454431,0.011078053,0.001399464,0.20447904,-0.08434235
0.13814698,-0.6133984,-0.6101368,0.45330557,-0.39213625,0.30908668,-0.37932765,0.259349,0.27312356,0.18258469,0.017884377,0.42726475,-0.009642477,-0.27142534,-0.043079004,-0.19401881,0.013236383,-0.2321766,-0.46808398,-0.1262207,-0.18753198,-0.18145569,0.10465161,0.22547057,0.22560228,-0.41786283,0.11170681,-0.04606093,0.13697115,-0.18532223,0.124817684,0.12183834,-0.06416453,-0.076899424,-0.10905601,-0.02460061,0.119591996,0.05928161,-0.20312883,-0.11259659,-0.0010954998,-0.044457164,0.043036703,-0.11251481,0.057217382,-0.062070504,-0.07874955
0.82973784,-0.35279948,-0.46744448,0.4847771,-0.34058717,-0.3168538,-0.11120154,0.074444726,0.11887385,-0.22224003,-0.030246228,0.28551477,-0.17354721,-0.1967726,-0.26276228,-0.22640006,0.12899852,-0.059585247,-0.4576587,-0.104592584,-0.1205207,-0.13847855,0.16084671,-0.40769404,-0.12027505,-0.41008124,-0.020342987,0.010960542,-0.2013348,-0.17086484,0.15218696,0.109114796,-0.09275745,0.004684305,0.07929561,0.16861825,0.02075137,-0.020088518,0.058753848,-0.0060082395,-0.06536332,-0.027712975,0.04732823,-0.13289893,0.053445525,-0.06716083,-0.12834303
