Rank,Feature_1,Feature_2,Mean_Absolute_SHAP_Interaction
250,Concentration in self-study,Understands content pre-exam,0.0053403825
251,Age_group,Physical health affected,0.0053214887
252,Concentration in self-study,Clinical takes study time,0.0053157373
253,GPA_S1,Health interferes studies,0.005306439
254,Concentration in self-study,Gender,0.005300032
255,Self_risk_percep,Sense of belonging,0.0052731372
256,Peer study groups effective,Seeks help when stuck,0.0052714455
257,ATT_RATE,Clinical takes study time,0.005203551
258,Age_group,Considered break,0.0051999995
259,Gender,Confident to complete prog,0.0051868297
260,LAB_AVG,Hopeless/unmotivated,0.005145729
261,Programme prepares for career,Self_risk_percep,0.005100142
262,Takes rest breaks,Completes readings,0.005095263
263,LAB_AVG,Financial_diff,0.0050815484
264,Health interferes studies,Reviews notes within 24h,0.0050675464
265,Self-motivates,ATT_RATE,0.005049953
266,Confident to complete prog,Uses library regularly,0.0050247186
267,Burnt out,Confident in clinical skills,0.0050145844
268,Financial_diff,Clinical takes study time,0.0049988367
269,Health interferes studies,Employment_hrs,0.0049964534
270,CLIN_AVG,Self-motivates,0.0049848254
271,Study_hrs_day,Prepared for clinical assess,0.004975056
272,CLIN_AVG,Financial_diff,0.0049667265
273,Financial_diff,Confident to complete prog,0.004948821
274,Programme prepares for career,Participates in clubs,0.0049208733
275,Programme prepares for career,Manages time effectively,0.0048923907
276,ATT_RATE,Sleep difficulty,0.004889682
277,CA_AVG,Confident to complete prog,0.004886612
278,LAB_AVG,Peer study groups effective,0.0048704403
279,Takes rest breaks,ATT_RATE,0.0048329383
280,ATT_RATE,Health interferes studies,0.0048271785
281,Physical health affected,Can improve performance,0.004821175
282,CA_AVG,Early intervention provided,0.0048059598
283,Regular exercise,Reviews notes within 24h,0.004798121
284,Peer study groups effective,Gender,0.004794569
285,CLIN_AVG,Prepared for clinical assess,0.0047907904
286,Study_hrs_day,Self-motivates,0.0047708424
287,Age_group,Clinical takes study time,0.004764032
288,GPA_S1,Peer study groups effective,0.004761778
289,Sleep_hrs,Takes rest breaks,0.004740005
290,Hopeless/unmotivated,Rotations affect performance,0.004733368
291,Study_hrs_day,Takes rest breaks,0.0047122194
292,CLIN_AVG,Takes organised notes,0.004705721
293,ATT_RATE,Gender,0.004704432
294,Clinical takes study time,Understands content pre-exam,0.004666966
295,Lecturers approachable,Prepared for clinical assess,0.0046659335
296,Sleep_hrs,Reviews notes within 24h,0.0046455488
297,Persists when difficult,Prepared for clinical assess,0.004609032
298,Adequate supervision,Uses library regularly,0.004606708
299,Financial_diff,ATT_RATE,0.0045997184
300,CA_AVG,Confident in clinical skills,0.0045798323
301,Adequate supervision,Physical health affected,0.004577896
302,Programme prepares for career,Rotations affect performance,0.0045717494
303,Age_group,CA_AVG,0.0045592673
304,CLIN_AVG,Health interferes studies,0.0045572156
305,Seeks help when stuck,Sense of belonging,0.004553155
306,CLIN_AVG,Adequate supervision,0.0045078276
307,Seeks help when stuck,Burnt out,0.004499001
308,Sleep_hrs,Self_risk_percep,0.004467305
309,Self_risk_percep,Confident in clinical skills,0.0044043795
310,CA_AVG,Can improve performance,0.0043976265
311,Peer study groups effective,Confident to complete prog,0.004380761
312,Financial_diff,Anxious about assessments,0.004369988
313,Sleep affects concentration,Sleep difficulty,0.004366077
314,Age_group,Health interferes studies,0.0043364456
315,LAB_AVG,Seeks help when stuck,0.004323944
316,Early intervention provided,Reviews notes within 24h,0.0043120603
317,GPA_S1,Hopeless/unmotivated,0.0042673894
318,Lecturers approachable,Self_risk_percep,0.004261116
319,Self-motivates,Lecturers approachable,0.004254042
320,LAB_AVG,Study_hrs_day,0.004236944
321,Programme prepares for career,Lecturers approachable,0.0042256853
322,CLIN_AVG,Gender,0.004189486
323,LAB_AVG,Lecturers approachable,0.0041863904
324,EXAM_AVG,Considered break,0.004178423
325,Self-motivates,Participates in clubs,0.004176862
326,ATT_RATE,Confident to complete prog,0.004097372
327,CLIN_AVG,Lecturers approachable,0.0040877033
328,Programme prepares for career,Understands content pre-exam,0.0040589967
329,Sleep affects concentration,Clinical takes study time,0.004048841
330,Sleep_hrs,Confident to complete prog,0.0040395116
331,Burnt out,Considered break,0.004032201
332,Physical health affected,ATT_RATE,0.0040282034
333,Study_hrs_day,Considered break,0.0040273005
334,Manages time effectively,Rotations affect performance,0.0040057823
335,Sleep_hrs,CA_AVG,0.00399343
336,Physical health affected,Lecturers approachable,0.003971979
337,GPA_S1,Prepared for clinical assess,0.003971205
338,Manages time effectively,Clinical takes study time,0.003955814
339,Concentration in self-study,Employment_hrs,0.0039120913
340,CA_AVG,Health interferes studies,0.00390085
341,GPA_S1,Employment_hrs,0.0038918513
342,Self_risk_percep,Clinical takes study time,0.0038651775
343,Seeks help when stuck,Can improve performance,0.003861852
344,Concentration in self-study,Considered break,0.0038588934
345,CLIN_AVG,Programme prepares for career,0.0038289952
346,Sleep_hrs,Gender,0.0038048597
347,Concentration in self-study,Physical health affected,0.0037914077
348,Sleep difficulty,Reviews notes within 24h,0.003786012
349,Study_hrs_day,Financial_diff,0.0037697786
350,Lecturers approachable,Employment_hrs,0.003766585
351,LAB_AVG,Uses library regularly,0.0037502078
352,Self-motivates,Clinical takes study time,0.0037464665
353,Age_group,Financial_diff,0.0037443116
354,Age_group,Sense of belonging,0.0037342922
355,Takes rest breaks,Confident to complete prog,0.0037326058
356,Study_hrs_day,Understands content pre-exam,0.003725324
357,Peer study groups effective,Participates in clubs,0.0037212614
358,ATT_RATE,Early intervention provided,0.0037204563
359,LAB_AVG,Physical health affected,0.0036942824
360,Takes rest breaks,Clinical takes study time,0.0036929208
361,Sense of belonging,Early intervention provided,0.0036818746
362,Physical health affected,Completes readings,0.003671205
363,Study_hrs_day,Clinical takes study time,0.003639472
364,Adequate supervision,Manages time effectively,0.0036244718
