GPA_S1,Age_group,LAB_AVG,CLIN_AVG,Study_hrs_day,Sleep_hrs,Adequate supervision,Self-motivates,Programme prepares for career,Financial_diff,CA_AVG,Takes rest breaks,Concentration in self-study,Manages time effectively,Persists when difficult,Physical health affected,Lecturers approachable,Self_risk_percep,ATT_RATE,Sleep affects concentration,Peer study groups effective,Seeks help when stuck,EXAM_AVG,Hopeless/unmotivated,Sense of belonging,Gender,Completes readings,Burnt out,Clinical takes study time,Can improve performance,Health interferes studies,Employment_hrs,Takes organised notes,Early intervention provided,Participates in clubs,Confident in clinical skills,Anxious about assessments,Regular exercise,Confident to complete prog,Understands content pre-exam,Uses library regularly,Prepared for clinical assess,Considered break,Sleep difficulty,Reviews notes within 24h,Rotations affect performance,ASSIGN_LATE
2.78,3,0.85,0.77,3,3,5,4,4,1,0.87,2,3,3,3,2,2,3,0.79,5,3,5,1.0,3,3,0,3,3,4,4,4,0,2,2,5,2,2,3,3,4,2,3,1,2,1,1,1
3.02,2,0.73,0.79,3,1,3,3,5,0,0.55,4,5,2,2,5,3,1,0.66,1,5,3,0.9,3,2,0,2,5,5,3,5,2,2,2,3,2,2,1,2,5,5,4,4,2,5,2,0
2.82,3,0.86,1.0,2,1,4,2,2,1,0.69,2,3,1,2,5,3,2,0.89,3,3,2,0.89,1,2,1,2,4,2,2,3,0,3,3,2,2,4,4,2,2,3,2,2,2,3,1,2
2.26,3,0.82,0.69,2,1,2,2,3,1,0.67,3,1,2,3,2,5,1,0.87,3,1,4,0.7,1,2,0,3,5,3,1,4,1,4,4,4,2,1,5,4,4,5,4,1,5,3,2,2
2.4,1,0.86,1.0,3,3,4,5,1,4,0.89,5,1,5,3,1,1,1,0.79,5,1,3,0.78,2,1,0,3,3,1,1,5,4,1,1,1,3,1,4,1,1,5,1,2,3,1,1,2
3.1,3,1.0,0.77,2,1,1,1,4,0,0.69,3,2,5,4,5,3,1,0.7,2,2,2,0.68,3,1,1,1,1,4,1,2,0,4,4,2,3,1,3,4,4,2,2,3,2,4,3,2
3.22,2,0.69,0.6,2,3,2,3,4,1,0.88,5,4,5,4,1,3,1,1.0,2,4,3,0.93,1,2,0,1,2,4,1,4,2,3,3,3,3,3,4,2,1,5,3,2,3,2,1,2
1.88,1,0.97,0.66,2,3,3,2,3,0,0.89,2,2,5,1,3,2,2,0.69,3,2,5,0.6,1,2,0,2,1,3,2,5,0,4,4,5,2,2,3,1,4,1,5,3,2,2,3,2
2.39,3,0.75,0.79,2,1,1,4,3,2,0.9,2,1,2,4,5,5,1,0.89,3,1,5,0.9,2,5,0,2,4,3,3,3,2,2,2,5,4,1,3,1,3,1,3,4,3,2,3,1
3.35,3,0.91,0.69,3,2,3,5,2,2,0.78,3,3,2,3,1,5,0,1.0,1,3,3,0.69,3,4,1,2,2,2,4,3,0,2,2,3,5,4,2,3,4,1,2,1,2,5,2,1
2.62,2,0.94,1.0,4,3,1,3,5,1,0.89,5,2,1,1,2,5,1,0.7,4,3,2,0.49,5,1,0,3,2,5,2,4,1,4,3,1,1,1,3,1,3,2,3,3,1,1,4,1
